date,case
2014-01-31,0.2938496583143508
2014-02-28,0.3917995444191344
2014-03-31,0.5398633257403189
2014-04-30,0.7084282460136674
2014-05-31,0.6742596810933941
2014-06-30,0.34851936218678814
2014-07-31,0.5694760820045558
2014-08-31,0.2642369020501139
2014-09-30,0.42141230068337127
2014-10-31,0.6013667425968109
2014-11-30,0.2870159453302961
2014-12-31,0.06833712984054668
2015-01-31,0.13211845102505695
2015-02-28,0.06605922551252846
2015-03-31,0.05922551252847381
2015-04-30,0.06605922551252846
2015-05-31,0.31207289293849655
2015-06-30,0.3530751708428246
2015-07-31,0.8633257403189065
2015-08-31,0.1958997722095672
2015-09-30,0.4328018223234624
2015-10-31,0.6400911161731208
2015-11-30,0.11617312072892938
2015-12-31,0.06605922551252846
2016-01-31,0.04100227790432802
2016-02-29,0.02505694760820045
2016-03-31,0.04783599088838269
2016-04-30,0.01366742596810934
2016-05-31,0.02277904328018223
2016-06-30,0.02505694760820045
2016-07-31,0.14578587699316628
2016-08-31,0.00911161731207289
2016-09-30,0.40774487471526194
2016-10-31,0.1776765375854214
2016-11-30,0.1366742596810934
2016-12-31,0.0022779043280182227
2017-01-31,0.47835990888382685
2017-02-28,0.9999999999999999
2017-03-31,0.3667425968109339
2017-04-30,0.0296127562642369
2017-05-31,0.1845102505694761
2017-06-30,0.02277904328018223
2017-07-31,0.12984054669703873
2017-08-31,0.8929384965831435
2017-09-30,0.09567198177676536
2017-10-31,0.3075170842824601
2017-11-30,0.5421412300683371
2017-12-31,0.06150341685649203
